date,region,category,channel,sales_rep,quantity,unit_price,revenue,cost,profit,order_id
2022-01-01,South,Grocery,Online,SR024,3,605.04,1815.11,1597.3,217.81,ORD265838
2022-01-01,North,Electronics,Retail Store,SR017,4,17263.6,69054.4,56624.61,12429.79,ORD139353
2022-01-01,South,Home & Kitchen,Retail Store,SR024,1,4024.92,4024.92,2897.94,1126.98,ORD193264
2022-01-01,Central,Fashion,Retail Store,SR001,5,2383.8,11919.02,6913.03,5005.99,ORD357426
2022-01-01,East,Beauty,Retail Store,SR024,4,1573.66,6294.64,2832.59,3462.05,ORD481050
2022-01-01,West,Fashion,Retail Store,SR011,2,2600.15,5200.29,3016.17,2184.12,ORD210078
2022-01-01,West,Electronics,Online,SR028,5,19935.14,99675.69,81734.07,17941.62,ORD418394
2022-01-01,West,Fashion,Mobile App,SR020,4,2608.88,10435.52,6052.6,4382.92,ORD501896
2022-01-01,South,Beauty,Marketplace,SR025,1,1894.87,1894.87,852.69,1042.18,ORD925816
2022-01-01,East,Electronics,Mobile App,SR016,4,16244.76,64979.03,53282.8,11696.23,ORD207512
2022-01-01,South,Grocery,Marketplace,SR027,4,661.37,2645.47,2328.01,317.46,ORD798376
2022-01-01,West,Fashion,Mobile App,SR024,4,2790.31,11161.26,6473.53,4687.73,ORD421184
2022-01-01,North,Beauty,Online,SR016,4,1843.57,7374.28,3318.43,4055.85,ORD757917
2022-01-01,Central,Home & Kitchen,Online,SR003,2,4480.58,8961.16,6452.04,2509.12,ORD554351
2022-01-01,North,Home & Kitchen,Online,SR024,5,4066.41,20332.05,14639.08,5692.97,ORD228391
2022-01-01,East,Sports,Retail Store,SR022,4,3208.46,12833.85,8983.69,3850.16,ORD381974
2022-01-01,East,Fashion,Marketplace,SR027,3,2794.03,8382.1,4861.62,3520.48,ORD392890
2022-01-01,East,Sports,Retail Store,SR029,1,2907.43,2907.43,2035.2,872.23,ORD829903
2022-01-01,North,Fashion,Mobile App,SR030,1,2870.91,2870.91,1665.13,1205.78,ORD405628
2022-01-01,Central,Fashion,Mobile App,SR017,5,2821.24,14106.19,8181.59,5924.6,ORD231373
2022-01-01,Central,Home & Kitchen,Mobile App,SR023,5,4344.88,21724.41,15641.58,6082.83,ORD805696
2022-01-01,North,Fashion,Retail Store,SR014,2,2822.51,5645.03,3274.12,2370.91,ORD136631
2022-01-01,West,Electronics,Online,SR026,3,16894.57,50683.71,41560.64,9123.07,ORD297392
2022-01-01,North,Sports,Mobile App,SR026,5,3004.65,15023.25,10516.27,4506.98,ORD335362
2022-01-01,East,Fashion,Online,SR020,1,2595.92,2595.92,1505.63,1090.29,ORD364512
2022-01-01,South,Electronics,Online,SR028,3,17125.17,51375.52,42127.93,9247.59,ORD132097
2022-01-01,East,Electronics,Online,SR030,1,16137.22,16137.22,13232.52,2904.7,ORD805660
2022-01-01,Central,Sports,Online,SR022,2,3509.7,7019.39,4913.57,2105.82,ORD561243
2022-01-01,West,Fashion,Online,SR004,4,2592.17,10368.67,6013.83,4354.84,ORD821772
2022-01-01,South,Electronics,Mobile App,SR018,4,16016.83,64067.3,52535.19,11532.11,ORD903451
2022-01-01,North,Beauty,Retail Store,SR023,3,1767.04,5301.13,2385.51,2915.62,ORD650233
2022-01-01,Central,Electronics,Mobile App,SR001,1,19017.9,19017.9,15594.68,3423.22,ORD953049
2022-01-01,South,Home & Kitchen,Online,SR021,1,4716.27,4716.27,3395.71,1320.56,ORD473632
2022-01-01,West,Home & Kitchen,Retail Store,SR012,5,4391.46,21957.3,15809.26,6148.04,ORD612153
2022-01-01,West,Fashion,Online,SR017,4,2159.5,8638.01,5010.05,3627.96,ORD675581
2022-01-01,West,Sports,Retail Store,SR021,2,3452.83,6905.66,4833.96,2071.7,ORD456902
2022-01-01,South,Fashion,Mobile App,SR005,2,2586.89,5173.78,3000.79,2172.99,ORD983811
2022-01-01,South,Electronics,Retail Store,SR024,2,18005.62,36011.23,29529.21,6482.02,ORD109540
2022-01-01,East,Beauty,Marketplace,SR027,2,1544.32,3088.63,1389.88,1698.75,ORD821747
2022-01-01,South,Grocery,Mobile App,SR011,1,710.68,710.68,625.4,85.28,ORD351492
2022-01-01,West,Beauty,Mobile App,SR013,3,1635.73,4907.18,2208.23,2698.95,ORD924926
2022-01-01,North,Fashion,Retail Store,SR029,1,2616.79,2616.79,1517.74,1099.05,ORD738873
2022-01-01,South,Beauty,Online,SR018,4,1904.16,7616.64,3427.49,4189.15,ORD257164
2022-01-01,North,Home & Kitchen,Retail Store,SR010,5,4205.75,21028.73,15140.69,5888.04,ORD663044
2022-01-01,West,Sports,Marketplace,SR007,4,3077.14,12308.55,8615.98,3692.57,ORD844086
2022-01-01,Central,Home & Kitchen,Retail Store,SR003,5,4823.88,24119.38,17365.95,6753.43,ORD514568
2022-01-01,East,Fashion,Retail Store,SR027,1,2365.04,2365.04,1371.72,993.32,ORD664242
2022-01-01,North,Fashion,Marketplace,SR028,4,2391.18,9564.72,5547.54,4017.18,ORD575853
2022-01-01,East,Beauty,Retail Store,SR012,5,1579.52,7897.6,3553.92,4343.68,ORD320184
2022-01-01,North,Grocery,Marketplace,SR021,1,574.63,574.63,505.67,68.96,ORD252617
2022-01-01,Central,Home & Kitchen,Online,SR011,3,5023.4,15070.2,10850.54,4219.66,ORD189930
2022-01-01,North,Electronics,Mobile App,SR006,4,19981.09,79924.36,65537.98,14386.38,ORD625830
2022-01-01,North,Grocery,Retail Store,SR005,3,690.22,2070.65,1822.17,248.48,ORD712380
2022-01-01,Central,Electronics,Online,SR017,1,20053.94,20053.94,16444.23,3609.71,ORD792440
2022-01-01,South,Grocery,Mobile App,SR022,3,704.04,2112.13,1858.67,253.46,ORD126790
2022-01-01,Central,Grocery,Online,SR018,3,601.97,1805.9,1589.19,216.71,ORD764795
2022-01-01,West,Grocery,Mobile App,SR003,1,697.62,697.62,613.91,83.71,ORD601708
2022-01-01,South,Fashion,Retail Store,SR006,1,2776.45,2776.45,1610.34,1166.11,ORD342804
2022-01-01,North,Home & Kitchen,Marketplace,SR016,5,4260.63,21303.13,15338.25,5964.88,ORD586261
2022-01-01,Central,Home & Kitchen,Online,SR018,3,5133.56,15400.68,11088.49,4312.19,ORD958158
2022-01-01,West,Beauty,Retail Store,SR003,5,1906.34,9531.7,4289.27,5242.43,ORD250159
2022-01-01,Central,Beauty,Marketplace,SR021,4,1587.65,6350.59,2857.77,3492.82,ORD260775
2022-01-01,East,Electronics,Retail Store,SR028,4,18451.74,73806.97,60521.72,13285.25,ORD227016
2022-01-01,South,Fashion,Online,SR020,1,2357.15,2357.15,1367.15,990.0,ORD790907
2022-01-01,North,Fashion,Online,SR005,2,2437.48,4874.96,2827.48,2047.48,ORD675278
2022-01-01,North,Home & Kitchen,Mobile App,SR023,3,3886.05,11658.14,8393.86,3264.28,ORD625303
2022-01-01,West,Fashion,Marketplace,SR026,1,2407.55,2407.55,1396.38,1011.17,ORD235230
2022-01-01,West,Fashion,Retail Store,SR003,1,2476.52,2476.52,1436.38,1040.14,ORD370846
2022-01-01,North,Fashion,Mobile App,SR005,1,2525.76,2525.76,1464.94,1060.82,ORD335365
2022-01-01,East,Home & Kitchen,Mobile App,SR017,2,4972.02,9944.05,7159.72,2784.33,ORD606964
2022-01-01,North,Grocery,Marketplace,SR001,5,592.91,2964.55,2608.8,355.75,ORD399888
2022-01-01,North,Sports,Online,SR022,2,3198.24,6396.48,4477.54,1918.94,ORD536341
2022-01-01,South,Sports,Mobile App,SR030,4,3258.5,13034.0,9123.8,3910.2,ORD399770
2022-01-01,North,Fashion,Online,SR002,5,2590.23,12951.16,7511.67,5439.49,ORD585450
2022-01-01,North,Electronics,Online,SR030,2,18485.56,36971.11,30316.31,6654.8,ORD650222
2022-01-01,Central,Grocery,Online,SR028,1,705.31,705.31,620.67,84.64,ORD563389
2022-01-01,Central,Beauty,Marketplace,SR017,4,1778.05,7112.19,3200.49,3911.7,ORD842729
2022-01-01,North,Sports,Online,SR030,5,3053.52,15267.58,10687.31,4580.27,ORD529802
2022-01-01,South,Grocery,Retail Store,SR008,3,579.57,1738.71,1530.06,208.65,ORD682531
2022-01-01,South,Electronics,Mobile App,SR018,3,18082.27,54246.82,44482.39,9764.43,ORD653020
2022-01-01,North,Electronics,Online,SR022,4,17177.14,68708.58,56341.04,12367.54,ORD441396
2022-01-01,East,Grocery,Online,SR026,2,577.61,1155.21,1016.58,138.63,ORD998860
2022-01-01,North,Fashion,Retail Store,SR029,3,2815.65,8446.96,4899.24,3547.72,ORD759792
2022-01-01,West,Fashion,Mobile App,SR015,5,2864.69,14323.46,8307.61,6015.85,ORD575774
2022-01-01,North,Home & Kitchen,Mobile App,SR014,2,4834.09,9668.17,6961.08,2707.09,ORD246106
2022-01-02,East,Home & Kitchen,Retail Store,SR006,5,4995.74,24978.7,17984.66,6994.04,ORD729474
2022-01-02,North,Fashion,Mobile App,SR025,4,2140.05,8560.21,4964.92,3595.29,ORD674736
2022-01-02,South,Electronics,Online,SR025,1,17151.81,17151.81,14064.48,3087.33,ORD732387
2022-01-02,East,Fashion,Retail Store,SR002,4,2527.83,10111.32,5864.57,4246.75,ORD637198
2022-01-02,South,Beauty,Online,SR020,1,1712.22,1712.22,770.5,941.72,ORD809913
2022-01-02,North,Beauty,Retail Store,SR021,5,2034.19,10170.97,4576.94,5594.03,ORD216421
2022-01-02,East,Fashion,Mobile App,SR019,1,2185.18,2185.18,1267.4,917.78,ORD856254
2022-01-02,Central,Fashion,Online,SR011,2,2557.0,5114.0,2966.12,2147.88,ORD222883
2022-01-02,Central,Electronics,Retail Store,SR002,3,19732.65,59197.96,48542.33,10655.63,ORD625134
2022-01-02,East,Grocery,Mobile App,SR022,5,588.97,2944.87,2591.49,353.38,ORD164323
2022-01-02,East,Grocery,Online,SR006,1,671.57,671.57,590.98,80.59,ORD888260
2022-01-02,Central,Grocery,Online,SR018,3,562.61,1687.82,1485.28,202.54,ORD814743
2022-01-02,North,Electronics,Marketplace,SR020,5,18996.69,94983.43,77886.41,17097.02,ORD108512
2022-01-02,North,Electronics,Online,SR017,3,17183.89,51551.67,42272.37,9279.3,ORD707812
2022-01-02,Central,Sports,Online,SR012,3,3620.81,10862.42,7603.69,3258.73,ORD435842
2022-01-02,West,Electronics,Retail Store,SR009,5,16054.77,80273.85,65824.56,14449.29,ORD158596
2022-01-02,North,Electronics,Online,SR014,5,16572.74,82863.68,67948.22,14915.46,ORD599097
2022-01-02,South,Home & Kitchen,Retail Store,SR007,2,4927.41,9854.82,7095.47,2759.35,ORD784647
2022-01-02,South,Fashion,Online,SR001,1,2299.16,2299.16,1333.51,965.65,ORD635534
2022-01-02,East,Fashion,Marketplace,SR006,3,2532.14,7596.41,4405.92,3190.49,ORD679205
2022-01-02,West,Fashion,Mobile App,SR029,4,2720.52,10882.08,6311.61,4570.47,ORD367552
2022-01-02,Central,Grocery,Mobile App,SR005,1,613.29,613.29,539.7,73.59,ORD132154
2022-01-02,North,Beauty,Retail Store,SR010,2,1796.75,3593.5,1617.07,1976.43,ORD274944
2022-01-02,East,Electronics,Online,SR024,5,15988.44,79942.19,65552.6,14389.59,ORD491182
2022-01-02,North,Sports,Online,SR027,4,3461.01,13844.03,9690.82,4153.21,ORD247550
2022-01-02,East,Grocery,Mobile App,SR011,3,619.91,1859.73,1636.56,223.17,ORD488349
2022-01-02,East,Home & Kitchen,Retail Store,SR012,2,5103.83,10207.67,7349.52,2858.15,ORD306988
2022-01-02,North,Electronics,Online,SR012,4,18502.0,74008.0,60686.56,13321.44,ORD923651
2022-01-02,West,Home & Kitchen,Online,SR026,2,4866.18,9732.37,7007.31,2725.06,ORD417320
2022-01-02,West,Grocery,Marketplace,SR014,3,640.41,1921.24,1690.69,230.55,ORD384260
2022-01-02,West,Home & Kitchen,Online,SR022,1,4273.4,4273.4,3076.85,1196.55,ORD268502
2022-01-02,East,Fashion,Online,SR020,5,2376.4,11881.99,6891.55,4990.44,ORD925656
2022-01-02,South,Electronics,Retail Store,SR006,1,19963.0,19963.0,16369.66,3593.34,ORD763937
2022-01-02,East,Grocery,Marketplace,SR027,3,558.91,1676.72,1475.51,201.21,ORD871253
2022-01-02,East,Electronics,Retail Store,SR011,1,17256.93,17256.93,14150.68,3106.25,ORD891189
2022-01-02,North,Fashion,Retail Store,SR017,1,2845.8,2845.8,1650.56,1195.24,ORD857907
2022-01-02,North,Fashion,Marketplace,SR013,1,2349.7,2349.7,1362.83,986.87,ORD535165
2022-01-02,North,Beauty,Mobile App,SR029,5,1867.49,9337.44,4201.85,5135.59,ORD714685
2022-01-02,East,Sports,Online,SR002,3,3155.16,9465.47,6625.83,2839.64,ORD237717
2022-01-02,South,Grocery,Retail Store,SR029,4,587.98,2351.9,2069.67,282.23,ORD374486
2022-01-02,South,Home & Kitchen,Online,SR023,2,4376.79,8753.58,6302.58,2451.0,ORD837334
2022-01-02,West,Electronics,Mobile App,SR003,1,18279.3,18279.3,14989.03,3290.27,ORD605815
2022-01-02,East,Electronics,Retail Store,SR003,1,19619.55,19619.55,16088.03,3531.52,ORD139986
2022-01-02,North,Beauty,Online,SR020,3,2049.83,6149.49,2767.27,3382.22,ORD599876
2022-01-02,South,Electronics,Online,SR007,2,15370.21,30740.42,25207.14,5533.28,ORD378176
2022-01-02,North,Electronics,Online,SR018,4,18771.8,75087.19,61571.5,13515.69,ORD501921
2022-01-02,East,Home & Kitchen,Online,SR023,2,4315.13,8630.26,6213.79,2416.47,ORD478387
2022-01-02,South,Beauty,Retail Store,SR003,2,1994.98,3989.95,1795.48,2194.47,ORD881817
2022-01-02,North,Sports,Mobile App,SR017,3,3578.77,10736.31,7515.42,3220.89,ORD783889
2022-01-02,South,Electronics,Retail Store,SR009,5,17473.77,87368.85,71642.46,15726.39,ORD941461
2022-01-02,South,Beauty,Online,SR023,5,1622.71,8113.53,3651.09,4462.44,ORD436676
2022-01-02,Central,Electronics,Online,SR002,4,17989.69,71958.76,59006.18,12952.58,ORD328504
2022-01-02,West,Grocery,Online,SR006,5,603.92,3019.59,2657.24,362.35,ORD129402
2022-01-02,East,Grocery,Mobile App,SR026,2,730.81,1461.62,1286.23,175.39,ORD463476
2022-01-02,East,Fashion,Online,SR001,4,2843.97,11375.88,6598.01,4777.87,ORD250322
2022-01-02,West,Electronics,Online,SR004,3,16858.95,50576.84,41473.01,9103.83,ORD322320
2022-01-02,East,Beauty,Marketplace,SR026,5,1791.23,8956.14,4030.26,4925.88,ORD861379
2022-01-02,North,Grocery,Mobile App,SR013,1,649.29,649.29,571.38,77.91,ORD663178
2022-01-02,West,Fashion,Online,SR001,1,2388.66,2388.66,1385.42,1003.24,ORD658296
2022-01-02,East,Beauty,Retail Store,SR005,3,1972.32,5916.95,2662.63,3254.32,ORD710411
2022-01-02,South,Beauty,Retail Store,SR027,3,1699.88,5099.65,2294.84,2804.81,ORD431770
2022-01-02,West,Home & Kitchen,Mobile App,SR030,1,4074.93,4074.93,2933.95,1140.98,ORD799983
2022-01-02,West,Sports,Mobile App,SR006,5,3384.59,16922.93,11846.05,5076.88,ORD564071
2022-01-02,East,Fashion,Online,SR026,2,2163.7,4327.39,2509.89,1817.5,ORD616142
2022-01-02,East,Electronics,Marketplace,SR026,2,18366.9,36733.81,30121.72,6612.09,ORD575526
2022-01-02,West,Electronics,Online,SR029,2,17577.52,35155.04,28827.13,6327.91,ORD499953
2022-01-02,North,Beauty,Retail Store,SR017,3,1977.61,5932.84,2669.78,3263.06,ORD189613
2022-01-02,North,Grocery,Online,SR011,2,725.07,1450.15,1276.13,174.02,ORD234055
2022-01-02,South,Grocery,Retail Store,SR022,1,657.49,657.49,578.59,78.9,ORD739896
2022-01-02,East,Beauty,Retail Store,SR023,4,1655.8,6623.19,2980.44,3642.75,ORD223618
2022-01-02,North,Sports,Mobile App,SR003,5,3088.61,15443.03,10810.12,4632.91,ORD982554
2022-01-02,South,Home & Kitchen,Mobile App,SR012,5,3875.76,19378.78,13952.72,5426.06,ORD375128
2022-01-02,South,Grocery,Retail Store,SR020,1,618.09,618.09,543.92,74.17,ORD243748
2022-01-02,North,Beauty,Retail Store,SR030,2,1690.01,3380.01,1521.0,1859.01,ORD533816
2022-01-02,Central,Fashion,Online,SR004,1,2418.72,2418.72,1402.86,1015.86,ORD601946
2022-01-02,West,Home & Kitchen,Online,SR002,3,5045.03,15135.08,10897.26,4237.82,ORD279352
2022-01-02,North,Beauty,Retail Store,SR021,5,1880.81,9404.05,4231.82,5172.23,ORD426898
2022-01-02,North,Grocery,Online,SR026,2,559.66,1119.33,985.01,134.32,ORD286626
2022-01-02,West,Sports,Retail Store,SR020,1,3217.53,3217.53,2252.27,965.26,ORD249369
2022-01-02,South,Grocery,Retail Store,SR024,2,688.22,1376.45,1211.28,165.17,ORD784191
2022-01-02,East,Grocery,Mobile App,SR014,1,668.12,668.12,587.95,80.17,ORD183300
2022-01-02,Central,Electronics,Online,SR003,4,17874.05,71496.22,58626.9,12869.32,ORD465464
2022-01-02,North,Sports,Online,SR027,1,3248.82,3248.82,2274.17,974.65,ORD705409
2022-01-02,South,Fashion,Online,SR018,5,2161.59,10807.94,6268.61,4539.33,ORD992964
2022-01-02,West,Fashion,Online,SR013,1,2171.14,2171.14,1259.26,911.88,ORD606079
2022-01-02,Central,Grocery,Retail Store,SR013,2,658.54,1317.07,1159.02,158.05,ORD884108
2022-01-02,East,Beauty,Mobile App,SR027,4,1989.31,7957.26,3580.77,4376.49,ORD576840
2022-01-02,North,Fashion,Marketplace,SR006,4,2588.96,10355.83,6006.38,4349.45,ORD153947
2022-01-02,Central,Electronics,Mobile App,SR010,3,20046.99,60140.96,49315.59,10825.37,ORD992297
2022-01-02,North,Sports,Marketplace,SR014,2,3505.25,7010.5,4907.35,2103.15,ORD289004
2022-01-02,North,Grocery,Online,SR017,3,743.83,2231.49,1963.71,267.78,ORD620551
2022-01-02,East,Fashion,Retail Store,SR019,3,2221.34,6664.01,3865.13,2798.88,ORD278589
2022-01-02,South,Electronics,Mobile App,SR030,4,18716.16,74864.63,61389.0,13475.63,ORD257732
2022-01-02,Central,Electronics,Mobile App,SR017,2,20415.41,40830.82,33481.27,7349.55,ORD426032
2022-01-02,South,Grocery,Retail Store,SR014,3,718.72,2156.16,1897.42,258.74,ORD530783
2022-01-02,South,Beauty,Mobile App,SR007,4,1939.46,7757.85,3491.03,4266.82,ORD943804
2022-01-02,South,Electronics,Retail Store,SR023,3,16663.55,49990.64,40992.32,8998.32,ORD537785
2022-01-02,South,Electronics,Marketplace,SR007,3,17737.49,53212.47,43634.23,9578.24,ORD824238
2022-01-02,West,Sports,Online,SR020,2,3461.91,6923.82,4846.67,2077.15,ORD384186
2022-01-02,Central,Sports,Online,SR016,5,3625.87,18129.36,12690.55,5438.81,ORD883204
2022-01-02,South,Beauty,Online,SR026,3,1698.45,5095.36,2292.91,2802.45,ORD341531
2022-01-02,West,Beauty,Online,SR012,1,1881.9,1881.9,846.85,1035.05,ORD126385
2022-01-02,East,Sports,Marketplace,SR021,1,3553.88,3553.88,2487.72,1066.16,ORD501927
2022-01-03,East,Sports,Online,SR026,5,3595.36,17976.81,12583.77,5393.04,ORD938530
2022-01-03,South,Electronics,Online,SR020,1,18579.45,18579.45,15235.15,3344.3,ORD658819
2022-01-03,North,Grocery,Online,SR024,5,604.95,3024.77,2661.8,362.97,ORD706791
2022-01-03,South,Fashion,Online,SR018,2,2635.34,5270.68,3056.99,2213.69,ORD969741
2022-01-03,West,Home & Kitchen,Mobile App,SR006,1,4986.17,4986.17,3590.04,1396.13,ORD545864
2022-01-03,East,Electronics,Online,SR014,1,15855.08,15855.08,13001.17,2853.91,ORD793919
2022-01-03,East,Electronics,Online,SR018,1,18322.1,18322.1,15024.12,3297.98,ORD294555
2022-01-03,East,Electronics,Mobile App,SR026,1,19752.38,19752.38,16196.95,3555.43,ORD936501
2022-01-03,Central,Fashion,Online,SR002,2,2725.44,5450.88,3161.51,2289.37,ORD821001
2022-01-03,North,Electronics,Mobile App,SR009,3,20139.6,60418.79,49543.41,10875.38,ORD860581
2022-01-03,East,Beauty,Online,SR018,4,2000.32,8001.29,3600.58,4400.71,ORD359931
2022-01-03,South,Sports,Mobile App,SR004,3,3579.02,10737.07,7515.95,3221.12,ORD373797
2022-01-03,South,Sports,Mobile App,SR014,1,2877.44,2877.44,2014.21,863.23,ORD473706
2022-01-03,East,Beauty,Mobile App,SR026,1,2000.76,2000.76,900.34,1100.42,ORD787250
2022-01-03,South,Home & Kitchen,Online,SR019,5,4714.26,23571.28,16971.32,6599.96,ORD320971
2022-01-03,West,Grocery,Online,SR028,1,648.69,648.69,570.85,77.84,ORD441705
2022-01-03,North,Fashion,Retail Store,SR017,1,2755.34,2755.34,1598.1,1157.24,ORD565757
2022-01-03,South,Home & Kitchen,Mobile App,SR012,5,4292.01,21460.06,15451.24,6008.82,ORD726045
2022-01-03,North,Home & Kitchen,Mobile App,SR021,1,4417.13,4417.13,3180.33,1236.8,ORD131585
2022-01-03,Central,Grocery,Marketplace,SR026,2,745.97,1491.93,1312.9,179.03,ORD142229
2022-01-03,South,Fashion,Retail Store,SR003,5,2674.83,13374.17,7757.02,5617.15,ORD620985
2022-01-03,Central,Beauty,Online,SR002,4,1731.34,6925.35,3116.41,3808.94,ORD395286
2022-01-03,North,Fashion,Retail Store,SR014,4,2428.77,9715.06,5634.73,4080.33,ORD825495
2022-01-03,East,Grocery,Online,SR025,1,628.76,628.76,553.31,75.45,ORD616123
2022-01-03,East,Fashion,Online,SR013,4,2223.16,8892.62,5157.72,3734.9,ORD857038
2022-01-03,Central,Fashion,Retail Store,SR012,2,2461.58,4923.17,2855.44,2067.73,ORD211453
2022-01-03,South,Electronics,Retail Store,SR022,4,19116.6,76466.39,62702.44,13763.95,ORD695923
2022-01-03,East,Fashion,Online,SR017,4,2480.97,9923.89,5755.86,4168.03,ORD371991
2022-01-03,East,Sports,Mobile App,SR020,4,3238.31,12953.24,9067.27,3885.97,ORD618477
2022-01-03,East,Electronics,Marketplace,SR003,5,18756.02,93780.08,76899.67,16880.41,ORD317285
2022-01-03,North,Electronics,Online,SR010,3,15524.49,46573.48,38190.25,8383.23,ORD796595
2022-01-03,Central,Home & Kitchen,Online,SR029,2,4261.23,8522.45,6136.16,2386.29,ORD246470
2022-01-03,East,Grocery,Retail Store,SR023,4,656.29,2625.15,2310.13,315.02,ORD909343
2022-01-03,North,Electronics,Marketplace,SR018,4,18936.54,75746.14,62111.83,13634.31,ORD601076
2022-01-03,West,Electronics,Retail Store,SR015,5,20502.07,102510.36,84058.5,18451.86,ORD148320
2022-01-03,Central,Sports,Mobile App,SR026,2,2954.38,5908.76,4136.13,1772.63,ORD136487
2022-01-03,West,Sports,Online,SR001,1,3381.95,3381.95,2367.36,1014.59,ORD201376
2022-01-03,East,Electronics,Retail Store,SR030,5,18416.8,92084.0,75508.88,16575.12,ORD660347
2022-01-03,East,Electronics,Online,SR016,1,17497.3,17497.3,14347.79,3149.51,ORD782568
2022-01-03,South,Electronics,Online,SR014,2,17482.36,34964.72,28671.07,6293.65,ORD691491
2022-01-03,West,Beauty,Mobile App,SR013,1,1701.29,1701.29,765.58,935.71,ORD990186
2022-01-03,South,Fashion,Mobile App,SR012,5,2368.44,11842.2,6868.48,4973.72,ORD858470
2022-01-03,South,Grocery,Retail Store,SR017,1,598.82,598.82,526.96,71.86,ORD458690
2022-01-03,North,Fashion,Retail Store,SR009,2,2694.51,5389.02,3125.63,2263.39,ORD731810
2022-01-03,Central,Grocery,Mobile App,SR026,4,557.5,2230.0,1962.4,267.6,ORD235832
2022-01-03,South,Fashion,Retail Store,SR011,4,2482.52,9930.09,5759.45,4170.64,ORD520182
2022-01-03,West,Sports,Marketplace,SR011,5,3509.5,17547.49,12283.24,5264.25,ORD159182
2022-01-03,Central,Electronics,Mobile App,SR021,3,15625.44,46876.33,38438.59,8437.74,ORD870188
2022-01-03,North,Fashion,Retail Store,SR027,5,2338.65,11693.27,6782.1,4911.17,ORD798012
2022-01-03,East,Sports,Online,SR002,4,3408.93,13635.72,9545.0,4090.72,ORD800336
2022-01-03,West,Home & Kitchen,Retail Store,SR013,4,4069.94,16279.77,11721.43,4558.34,ORD163646
2022-01-03,North,Beauty,Retail Store,SR020,2,2025.59,4051.17,1823.03,2228.14,ORD732259
2022-01-03,West,Electronics,Online,SR027,5,18719.02,93595.09,76747.97,16847.12,ORD712492
2022-01-03,West,Beauty,Mobile App,SR015,1,1958.62,1958.62,881.38,1077.24,ORD706217
2022-01-03,South,Electronics,Marketplace,SR005,1,16579.1,16579.1,13594.86,2984.24,ORD351459
2022-01-03,West,Fashion,Retail Store,SR019,2,2732.15,5464.29,3169.29,2295.0,ORD443715
2022-01-03,South,Electronics,Online,SR002,1,19279.12,19279.12,15808.88,3470.24,ORD903446
2022-01-03,North,Grocery,Online,SR011,3,670.88,2012.65,1771.13,241.52,ORD157993
2022-01-03,East,Fashion,Online,SR003,1,2865.84,2865.84,1662.19,1203.65,ORD628646
2022-01-03,South,Beauty,Retail Store,SR007,1,1903.92,1903.92,856.76,1047.16,ORD209847
2022-01-03,North,Electronics,Mobile App,SR013,2,20189.83,40379.67,33111.33,7268.34,ORD416397
2022-01-03,East,Fashion,Retail Store,SR027,1,2367.53,2367.53,1373.17,994.36,ORD334565
2022-01-03,North,Fashion,Retail Store,SR012,2,2627.2,5254.4,3047.55,2206.85,ORD398522
